Date,Open,High,Low,Close,Volume
2016/4/13,424.7,426.6,421.4,423.5,38.09K
2016/4/14,423.5,425.4,421.8,424,30.66K
2016/4/15,424,429.5,423.3,428.7,54.12K
2016/4/16,428.7,432,426.8,430,29.02K
2016/4/17,430,430.6,423.8,426.3,25.59K
2016/4/18,426.3,429.1,424.4,427.7,32.58K
2016/4/19,427.7,436.1,426.8,434.9,45.68K
2016/4/20,434.9,442.9,432.5,441.2,74.36K
2016/4/21,441.2,450.8,439.5,449.3,63.13K
2016/4/22,449.3,450.2,441.9,445.3,49.71K
2016/4/23,445.3,451.5,443.1,450.1,42.36K
2016/4/24,450.1,461.8,447.9,457.6,74.43K
2016/4/25,457.6,466.2,451.8,461.7,81.66K
2016/4/26,461.7,468.9,459.2,466,67.56K
2016/4/27,466,467.9,444.6,447,90.81K
2016/4/28,447,450.1,433.9,448.5,81.94K
2016/4/29,448.5,456.3,445.2,455,44.85K
2016/4/30,455,456.9,446.6,448.5,35.31K
2016/5/1,448.5,454.2,447.5,452.2,21.75K
2016/5/2,452.2,453.9,440.2,444.2,73.85K
2016/5/3,444.2,451.5,441.5,450.3,49.75K
2016/5/4,450.3,450.9,444.2,445.8,39.44K
2016/5/5,445.8,449.2,444.4,448.1,41.89K
2016/5/6,448.1,461.5,445.7,459.6,68.43K
2016/5/7,459.6,460.6,454.6,458.5,30.97K
2016/5/8,458.5,460.2,454.9,457.9,27.60K
2016/5/9,457.9,464.2,455.4,460.4,48.42K
2016/5/10,460.4,462.1,446.8,449.4,59.99K
2016/5/11,449.4,456.1,449.6,452.5,39.97K
2016/5/12,452.5,455.3,448.4,454.4,49.19K
2016/5/13,454.4,457.2,451.5,455.4,32.39K
2016/5/14,455.4,457.7,453.6,456.4,20.36K
2016/5/15,456.4,460.3,455,458.1,21.20K
2016/5/16,458.1,459.6,450.7,454.9,36.60K
2016/5/17,454.9,456.3,451.7,453.3,34.63K
2016/5/18,453.3,456.6,452.4,454.2,32.61K
2016/5/19,454.2,455.2,441.1,442.7,59.39K
2016/5/20,442.7,447.8,435.4,442.1,48.43K
2016/5/21,442.1,445.2,439.7,443.6,23.00K
2016/5/22,443.6,444.2,436.9,439.6,28.74K
