Date,Close,Open,High,Low,Volume
2019/10/16,68.07,71.41,71.77,67.31,246.91K
2019/10/17,68.93,68.07,70.06,67.23,165.94K
2019/10/18,68.01,68.96,69.14,66.93,176.64K
2019/10/19,67.42,68.01,68.64,67.18,153.04K
2019/10/20,69.18,67.42,69.91,66.97,171.19K
2019/10/21,68.65,69.18,69.78,67.95,180.05K
2019/10/22,67.28,68.65,69.46,66.81,161.83K
2019/10/23,63.17,67.29,67.38,62.43,249.19K
2019/10/24,63.34,63.17,64.11,61.38,154.14K
2019/10/25,70.3,63.34,70.35,63.17,425.69K
2019/10/26,70.83,70.3,73.97,67.67,572.06K
2019/10/27,71.85,70.83,74.05,69.1,308.42K
2019/10/28,71.73,71.84,76.6,71.73,260.75K
2019/10/29,73.66,71.73,76.77,71.52,288.00K
2019/10/30,72.09,73.66,75.2,71.2,196.34K
2019/10/31,71.59,72.09,77.37,69.89,171.64K
2019/11/1,71.82,71.59,72.12,70.2,155.69K
2019/11/2,72.13,71.82,72.51,71.45,159.22K
2019/11/3,69.8,72.12,73.22,68.83,138.97K
2019/11/4,72.65,69.79,73.45,69.15,152.37K
2019/11/5,74.38,72.66,74.7,71.57,151.26K
2019/11/6,75.21,74.38,75.53,72.92,132.38K
2019/11/7,73.14,75.21,75.55,71.64,234.80K
2019/11/8,70.52,73.15,73.93,67.94,163.38K
2019/11/9,71.46,70.52,72,70.39,116.10K
2019/11/10,71.88,71.47,73.04,71.08,210.21K
2019/11/11,70.18,71.88,73.21,69.97,140.82K
2019/11/12,70.03,70.18,70.55,68.99,165.19K
2019/11/13,69.56,70.04,70.42,69.41,146.32K
2019/11/14,68.72,69.56,69.65,67.41,145.61K
2019/11/15,68.13,68.7,69.43,67.04,180.44K
2019/11/16,68.02,68.13,68.2,67.47,136.92K
2019/11/17,67.8,68.02,68.33,67.37,139.72K
2019/11/18,64.79,67.8,70.98,64.13,212.64K
2019/11/19,65.71,64.8,66.02,63.64,177.49K
2019/11/20,64.32,65.71,66.02,64.09,165.60K
2019/11/21,61.37,64.32,65.09,61.03,198.87K
2019/11/22,56.51,61.38,62.04,54.7,320.16K
2019/11/23,55.35,56.51,58.76,54.6,261.01K
2019/11/24,50.93,55.35,58.82,50.72,214.72K
2019/11/25,49.81,50.93,53.6,48.5,359.89K
2019/11/26,50.2,49.81,50.95,49.57,209.85K
2019/11/27,50.5,50.2,54.46,48.02,252.89K
2019/11/28,52.33,50.46,54.5,49.51,304.86K
2019/11/29,57.34,52.33,59.02,52.29,299.89K
2019/11/30,55.87,57.34,58.61,54.95,197.14K
2019/12/1,53.12,55.87,55.94,52.35,185.90K
2019/12/2,52.69,53.12,53.79,51.57,150.62K
2019/12/3,51.29,52.69,53.21,50.72,232.94K
2019/12/4,50.31,51.3,56.14,49.75,357.72K
2019/12/5,50.03,50.31,51.47,49.29,335.49K
2019/12/6,52.51,50.02,52.93,49.74,333.80K
2019/12/7,52.45,52.51,53.36,51.54,333.57K
2019/12/8,51.79,52.45,52.54,51.53,279.42K
2019/12/9,51.21,51.79,53.03,50.68,330.74K
2019/12/10,49.9,51.21,51.74,49.33,308.12K
2019/12/11,49.74,49.9,50.77,49.21,279.19K
2019/12/12,49.87,49.74,50.64,48.61,310.09K
2019/12/13,50.66,49.9,50.91,49.67,282.17K
2019/12/14,49.55,50.65,51.27,48.98,289.21K
2019/12/15,50.74,49.49,51.23,48.9,343.89K
2019/12/16,46.06,50.74,50.85,45.5,478.85K
2019/12/17,41.2,46.06,46.15,40.9,582.50K
2019/12/18,44.4,41.2,45.44,40.08,401.23K
2019/12/19,42.8,44.4,44.87,42.17,267.69K
2019/12/20,43.31,42.81,43.61,42.09,265.45K
2019/12/21,42.57,43.23,43.38,42.38,238.05K
2019/12/22,44.19,42.57,44.26,42.43,235.14K
